Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
475,0.0415302,0.0017882,0.0029706
476,0.0426459,0.0017066,0.0032557
477,0.0454906,0.00174,0.0031523
478,0.0430051,0.0016285,0.0032612
479,0.0433064,0.0016676,0.0036095
480,0.0424826,0.0021188,0.0029873
481,0.0425693,0.0017057,0.0030532
482,0.0425278,0.0017064,0.0030393
483,0.0429985,0.0018423,0.0032649
484,0.0417355,0.0016397,0.0031088
485,0.0482942,0.0016417,0.003064
486,0.0432617,0.0018986,0.0032076
487,0.0418601,0.0019026,0.0033061
488,0.0418833,0.0018108,0.0029938
489,0.0473865,0.0019042,0.0032087
490,0.0431029,0.0021638,0.0029264
491,0.0425662,0.0016918,0.0031496
492,0.0451666,0.001645,0.0031176
493,0.0449208,0.0016163,0.0034672
494,0.044978,0.0018718,0.0029988
495,0.0421751,0.0016534,0.0030296
496,0.0457327,0.0016331,0.0033343
497,0.0423473,0.0035174,0.0029756
498,0.0469565,0.0020146,0.0031191
499,0.0449527,0.0032119,0.0030116
500,0.0450966,0.006048,0.0032116
501,0.0428844,0.0079895,0.003225
502,0.0449926,0.0022105,0.003009
503,0.045949,0.0016974,0.0029663
504,0.0456939,0.0017582,0.0031829
505,0.0436532,0.0019297,0.0032513
506,0.0429136,0.0019498,0.0031153
507,0.0429089,0.0021838,0.0030365
508,0.0426172,0.0016995,0.0030309
509,0.0446515,0.001627,0.0030991
510,0.0450172,0.0016879,0.0031175
511,0.0438137,0.0016757,0.0030175
512,0.0439038,0.0016368,0.0031758
513,0.0441481,0.001668,0.0048241
514,0.0455771,0.0036485,0.0029937
515,0.0456171,0.0015657,0.003117
516,0.0449627,0.0016707,0.0038545
517,0.0475082,0.0083967,0.0030113
518,0.0451536,0.0016375,0.0033089
519,0.0445177,0.0018541,0.0032024
520,0.0446302,0.0018468,0.0033203
521,0.0439725,0.0018724,0.0032128
522,0.0418593,0.0018292,0.0030377
523,0.0420344,0.0017008,0.0031312
524,0.0478987,0.0016362,0.0030564
525,0.0426087,0.0017366,0.0031072
526,0.042907,0.0018736,0.0031082
527,0.0457367,0.0016454,0.0031139
528,0.0435907,0.0016674,0.0031003
529,0.0437402,0.001622,0.0031458
530,0.0415229,0.0016587,0.0032218
531,0.0415614,0.0018824,0.0034901
532,0.0430655,0.0015341,0.0038413
533,0.044661,0.0016882,0.0031506
534,0.0429209,0.0016886,0.0032109
535,0.0441296,0.0016848,0.0030589
536,0.046651,0.0015705,0.0035301
537,0.0434677,0.001631,0.0030694
538,0.0471529,0.0016793,0.0030214
539,0.0414286,0.0016225,0.0032568
540,0.0432938,0.001675,0.0030729
541,0.0432716,0.0016542,0.0031258
542,0.0463808,0.0016862,0.0059763
543,0.0478486,0.012129,0.0033147
544,0.0456807,0.0031163,0.003015
545,0.0429089,0.005851,0.0034569
546,0.0426677,0.001661,0.0030607
547,0.0444972,0.0016362,0.0030099
548,0.0441919,0.0016491,0.0030515
549,0.0450702,0.0016557,0.0031025
550,0.0456708,0.0016584,0.0030989
551,0.043643,0.0015985,0.0030566
552,0.0432747,0.0018946,0.0030864
553,0.0420094,0.0016105,0.0030641
554,0.042075,0.001714,0.0031307
555,0.0430015,0.0016343,0.0029914
556,0.0467665,0.0086321,0.0029259
557,0.0421911,0.0016907,0.0030545
558,0.0452674,0.001637,0.0170244
559,0.0427536,0.0016344,0.0033554
560,0.0428855,0.001651,0.0030285
561,0.0429243,0.0016524,0.003041
562,0.0430948,0.0017054,0.003086
563,0.0422377,0.0017082,0.0030339
564,0.0424256,0.0016956,0.0031156
565,0.0408796,0.0016793,0.0035999
566,0.0447914,0.0016485,0.003379
567,0.042281,0.0016963,0.003281
568,0.0416664,0.001762,0.0031495
569,0.0416645,0.0016848,0.0032626
570,0.0455675,0.0016699,0.0030702
571,0.046617,0.0018668,0.003009
572,0.0430844,0.001755,0.0030333
573,0.0431217,0.0016948,0.0031091
574,0.0455791,0.0016714,0.0029867
575,0.0421266,0.0017072,0.0030748
576,0.0455244,0.0016626,0.0030247
577,0.043391,0.0019539,0.0029703
578,0.0434781,0.0017114,0.0035958
579,0.0475011,0.0016537,0.0033609
580,0.0426195,0.0016855,0.0031511
581,0.0445925,0.0016514,0.0030874
582,0.0450765,0.0016511,0.0031695
583,0.0424623,0.001672,0.0030666
584,0.0426863,0.0016455,0.0029914
585,0.0431328,0.0017381,0.0030408
586,0.0476586,0.0017792,0.0032892
587,0.0471045,0.0072811,0.0029892
588,0.0475008,0.0107029,0.0033111
589,0.0452314,0.0020674,0.0033558
590,0.0420188,0.0044702,0.0029785
591,0.0434779,0.0016598,0.0030614
592,0.0407032,0.0016633,0.003039
593,0.0436404,0.0016754,0.0030339
594,0.0446443,0.0016828,0.0030842
595,0.0426237,0.0018417,0.0030692
596,0.0406788,0.001896,0.0030082
597,0.0424709,0.0017992,0.0054455
598,0.0460737,0.0016055,0.003038
599,0.0428566,0.0016408,0.003369
600,0.0426566,0.0016975,0.0031527
601,0.0405704,0.0017946,0.003037
602,0.0435937,0.0017107,0.0033236
603,0.0426884,0.0016837,0.0030849
604,0.0434397,0.0016571,0.003084
605,0.044995,0.0016739,0.0030804
606,0.0448172,0.0016488,0.0029983
607,0.042091,0.0016409,0.0030387
608,0.0422022,0.0016615,0.0029763
609,0.0436915,0.0016366,0.0033709
610,0.0453377,0.0016727,0.0030524
611,0.0412639,0.0016966,0.0032816
612,0.0430653,0.0016631,0.0033287
613,0.0440632,0.0016734,0.0033449
614,0.0447572,0.0016109,0.0030473
615,0.0469449,0.0016128,0.0030425
616,0.0426626,0.0017001,0.0030914
617,0.0436817,0.0016725,0.0031
618,0.0426208,0.0016786,0.0031161
619,0.0440109,0.0016875,0.0035509
620,0.0424451,0.0021994,0.0029887
621,0.042692,0.001892,0.0032188
622,0.0479372,0.0016311,0.0030554
623,0.0414442,0.0016939,0.0030495
624,0.0438282,0.0015746,0.0030631
625,0.0427867,0.001673,0.0031786
626,0.043657,0.0016862,0.0032713
627,0.0447589,0.0016186,0.0029959
628,0.0409351,0.0016304,0.0030108
629,0.0424982,0.0018088,0.0031207
630,0.0429928,0.0016509,0.0031091
631,0.0450253,0.0016423,0.0030661
632,0.0469282,0.0091248,0.0029666
633,0.0466798,0.0059243,0.0033664
634,0.0435488,0.0062679,0.003066
635,0.047603,0.0069028,0.0038025
636,0.0438965,0.0016562,0.0031662
637,0.0444327,0.0016556,0.0030633
638,0.0428639,0.0016483,0.0030868
639,0.0441161,0.0016715,0.0033519
640,0.0462251,0.0016687,0.0030183
641,0.0462106,0.0041644,0.0030726
642,0.0413803,0.0016002,0.0030501
643,0.0454151,0.0015544,0.0031582
644,0.0431172,0.0016106,0.0029612
645,0.0411433,0.0016579,0.0030145
646,0.0446372,0.0016908,0.0032146
647,0.0419983,0.0020177,0.0029511
648,0.0428288,0.0018309,0.0030792
649,0.0432428,0.0021015,0.0030114
650,0.0435984,0.001623,0.0030776
651,0.0426446,0.0016302,0.0030533
652,0.0444666,0.0016431,0.0029763
653,0.0423392,0.0017691,0.0030346
654,0.0446515,0.0018553,0.0030683
655,0.0414534,0.0018964,0.0030257
656,0.042088,0.0016034,0.0033505
657,0.0451501,0.0016796,0.0030989
658,0.0427266,0.0016515,0.003215
659,0.0424083,0.0016659,0.0034735
660,0.0424097,0.0017359,0.0032246
661,0.0432272,0.0019035,0.0032588
662,0.0454926,0.0020599,0.0030188
663,0.0450021,0.0018601,0.0031349
664,0.0424851,0.0018413,0.0030818
665,0.0418996,0.001534,0.0030635
666,0.0429486,0.0016441,0.0041079
667,0.0434665,0.0017048,0.0031711
668,0.0425453,0.0016593,0.0035868
669,0.0446418,0.0016948,0.0033413
670,0.0432424,0.0016827,0.0030038
671,0.0420526,0.0017566,0.0030774
672,0.0411032,0.0016738,0.0031541
673,0.0448785,0.0015838,0.0030506
674,0.0432197,0.0016345,0.0034402
675,0.0424702,0.0016674,0.0030747
676,0.0436734,0.0017891,0.0030107
677,0.0447272,0.0076292,0.0029619
678,0.0457188,0.0106305,0.0032971
679,0.0458866,0.0039409,0.003022
680,0.0462865,0.0081972,0.0037494
681,0.0451046,0.0018177,0.0031378
682,0.0422239,0.0018683,0.0030638
683,0.0433356,0.0016986,0.003206
